Subject,Catalog,Long Title,ID,Last,First Name,Year,Institution,Component,Lecture,Barcode,CAS Number
MATHS,1001,Mathematics 1R,9519493,Davidson,Neil,02,GLSGW,LAB,LB01,44423487631587,74751963549138
MATHS,1001,Mathematics 1R,9519493,Davidson,Neil,02,GLSGW,LEC,LC04,44423487631587,74751963549138
MATHS,1001,Mathematics 1R,9519493,Davidson,Neil,02,GLSGW,TUT,TU32,44423487631587,74751963549138
MATHS,1001,Mathematics 1R,9450075,Peake,Claire,01,GLSGW,LAB,LB03,45911260276709,
MATHS,1001,Mathematics 1R,9450075,Peake,Claire,01,GLSGW,LEC,LC02,45911260276709,
MATHS,1001,Mathematics 1R,9450075,Peake,Claire,01,GLSGW,TUT,TU21,45911260276709,
MATHS,1001,Mathematics 1R,2769146,Oliver,Joanne,01,GLSGW,LAB,LB05,52200848576962,
MATHS,1001,Mathematics 1R,2769146,Oliver,Joanne,01,GLSGW,LEC,LC03,52200848576962,
MATHS,1001,Mathematics 1R,2769146,Oliver,Joanne,01,GLSGW,TUT,TU12,52200848576962,
MATHS,1001,Mathematics 1R,6311057,Knox,Phil,01,GLSGW,LAB,LB09,08439183835913,
MATHS,1001,Mathematics 1R,6311057,Knox,Phil,01,GLSGW,LEC,LC02,08439183835913,
MATHS,1001,Mathematics 1R,6311057,Knox,Phil,01,GLSGW,TUT,TU28,08439183835913,
MATHS,1001,Mathematics 1R,8145539,Nolan,Christian,01,GLSGW,LAB,LB09,87452363506981,
MATHS,1001,Mathematics 1R,8145539,Nolan,Christian,01,GLSGW,LEC,LC03,87452363506981,
MATHS,1001,Mathematics 1R,8145539,Nolan,Christian,01,GLSGW,TUT,TU07,87452363506981,
MATHS,1001,Mathematics 1R,2430924,Lambert,Julian,01,GLSGW,LAB,LB06,68726445896300,
MATHS,1001,Mathematics 1R,2430924,Lambert,Julian,01,GLSGW,LEC,LC03,68726445896300,
MATHS,1001,Mathematics 1R,2430924,Lambert,Julian,01,GLSGW,TUT,TU24,68726445896300,
MATHS,1001,Mathematics 1R,0939105,Piper,Irene,02,GLSGW,LAB,LB03,05154189154498,
MATHS,1001,Mathematics 1R,0939105,Piper,Irene,02,GLSGW,LEC,LC02,05154189154498,
MATHS,1001,Mathematics 1R,0939105,Piper,Irene,02,GLSGW,TUT,TU01,05154189154498,
MATHS,1001,Mathematics 1R,0359671,Short,William,01,GLSGW,LAB,LB02,15688016356445,
MATHS,1001,Mathematics 1R,0359671,Short,William,01,GLSGW,LEC,LC01,15688016356445,
MATHS,1001,Mathematics 1R,0359671,Short,William,01,GLSGW,TUT,TU03,15688016356445,
MATHS,1001,Mathematics 1R,5535770,Paterson,Michael,01,GLSGW,LAB,LB05,21529855561512,
MATHS,1001,Mathematics 1R,5535770,Paterson,Michael,01,GLSGW,LEC,LC02,21529855561512,
MATHS,1001,Mathematics 1R,5535770,Paterson,Michael,01,GLSGW,TUT,TU08,21529855561512,
MATHS,1001,Mathematics 1R,0917295,Terry,Rachel,01,GLSGW,LAB,LB03,71704047164575,
MATHS,1001,Mathematics 1R,0917295,Terry,Rachel,01,GLSGW,LEC,LC03,71704047164575,
MATHS,1001,Mathematics 1R,0917295,Terry,Rachel,01,GLSGW,TUT,TU13,71704047164575,
MATHS,1001,Mathematics 1R,8969090,White,Jasmine,01,GLSGW,LAB,LB05,11644502906307,
MATHS,1001,Mathematics 1R,8969090,White,Jasmine,01,GLSGW,LEC,LC01,11644502906307,
MATHS,1001,Mathematics 1R,8969090,White,Jasmine,01,GLSGW,TUT,TU08,11644502906307,
MATHS,1001,Mathematics 1R,5243331,Manning,Dominic,02,GLSGW,LAB,LB02,43994518606376,
MATHS,1001,Mathematics 1R,5243331,Manning,Dominic,02,GLSGW,LEC,LC01,43994518606376,
MATHS,1001,Mathematics 1R,5243331,Manning,Dominic,02,GLSGW,TUT,TU28,43994518606376,
MATHS,1001,Mathematics 1R,3847572,Ball,Keith,01,GLSGW,LAB,LB08,11091213641388,
MATHS,1001,Mathematics 1R,3847572,Ball,Keith,01,GLSGW,LEC,LC01,11091213641388,
MATHS,1001,Mathematics 1R,3847572,Ball,Keith,01,GLSGW,TUT,TU10,11091213641388,
MATHS,1001,Mathematics 1R,8479549,Carr,Max,01,GLSGW,LAB,LB09,13873011187645,
MATHS,1001,Mathematics 1R,8479549,Carr,Max,01,GLSGW,LEC,LC04,13873011187645,
MATHS,1001,Mathematics 1R,8479549,Carr,Max,01,GLSGW,TUT,TU38,13873011187645,
MATHS,1001,Mathematics 1R,2650528,Nolan,Austin,01,GLSGW,LAB,LB08,16852992259548,
MATHS,1001,Mathematics 1R,2650528,Nolan,Austin,01,GLSGW,LEC,LC01,16852992259548,
MATHS,1001,Mathematics 1R,2650528,Nolan,Austin,01,GLSGW,TUT,TU10,16852992259548,
MATHS,1001,Mathematics 1R,9214955,Welch,Audrey,01,GLSGW,LAB,LB01,87759105825410,
MATHS,1001,Mathematics 1R,9214955,Welch,Audrey,01,GLSGW,LEC,LC02,87759105825410,
MATHS,1001,Mathematics 1R,9214955,Welch,Audrey,01,GLSGW,TUT,TU19,87759105825410,
MATHS,1001,Mathematics 1R,4656173,Coleman,Theresa,01,GLSGW,LAB,LB05,67449933566479,
MATHS,1001,Mathematics 1R,4656173,Coleman,Theresa,01,GLSGW,LEC,LC01,67449933566479,
MATHS,1001,Mathematics 1R,4656173,Coleman,Theresa,01,GLSGW,TUT,TU29,67449933566479,
MATHS,1001,Mathematics 1R,7280517,Davidson,Julia,02,GLSGW,LAB,LB09,49838224556352,
MATHS,1001,Mathematics 1R,7280517,Davidson,Julia,02,GLSGW,LEC,LC01,49838224556352,
MATHS,1001,Mathematics 1R,7280517,Davidson,Julia,02,GLSGW,TUT,TU05,49838224556352,
MATHS,1001,Mathematics 1R,8026881,Clark,Stewart,01,GLSGW,LAB,LB04,43253562187086,
MATHS,1001,Mathematics 1R,8026881,Clark,Stewart,01,GLSGW,LEC,LC03,43253562187086,
MATHS,1001,Mathematics 1R,8026881,Clark,Stewart,01,GLSGW,TUT,TU14,43253562187086,
MATHS,1001,Mathematics 1R,7235148,Stewart,Sonia,01,GLSGW,LAB,LB01,10503524348724,
MATHS,1001,Mathematics 1R,7235148,Stewart,Sonia,01,GLSGW,LEC,LC04,10503524348724,
